track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_name,playlist_id,album_type,album_id,artist_id,explicit,track_popularity,market_id,num_avail_markets,num_artists,playlist_rank,artist_name,followers,artist_popularity,PC1,PC2,PC3,PC4,PC5,PC6,Cluster
4GVQOvxTqXPLJ1rHvP0SwZ,0.715,0.59,1.0,-6.507,1.0,0.342,0.184,0.0,0.125,0.121,105.891,181108.0,4.0,No More,37i9dQZEVXbJV3H3OfCN1z,album,3BzDtldlIXJJGh9Qc7tbLK,2gzWmhOZhDN6gXL49JW9qj,True,51,south_africa,183,1,35,Nasty C,1641364,61,0.09909139127082095,0.7976767639914999,-0.05394600990533687,0.15921533859319525,-0.5639377734987263,-1.0609155289017471,0
4Vm5J277k6HH6CNZEZXAE9,0.779,0.712,1.0,-5.2620000000000005,0.0,0.0388,0.0247,0.0,0.252,0.543,104.961,201185.0,4.0,لفينا الدنيا,37i9dQZEVXbMy2EcFg5F9m,single,6hBfYe9PE9Wp1CAs9C2nRq,3gCqbhXmiSto3R8U9YZcZM,False,63,egypt,184,2,7,Reda El Bahrawy,695772,49,-0.6421514736966178,1.1463952828343422,0.6776082494796093,-0.259663605950072,-0.22268405740208433,-0.7711277630830609,1
4WXX611x1aCtwcqVJgA3xb,0.762,0.805,1.0,-6.63,1.0,0.386,0.23700000000000002,0.0,0.11,0.271,124.977,155520.0,4.0,Sunset,37i9dQZEVXbLKI6MPixefZ,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,59,czech_republic,184,3,34,Separ,260196,59,-1.6883798143742923,1.0324865747520937,1.878399980824707,0.15896869151173343,-1.1075640044205364,1.576141958525158,1
4WXX611x1aCtwcqVJgA3xb,0.762,0.805,1.0,-6.63,1.0,0.386,0.23700000000000002,0.0,0.11,0.271,124.977,155520.0,4.0,Sunset,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,59,slovakia,184,3,2,Separ,260196,59,-1.6883798143742923,1.0324865747520937,1.878399980824707,0.15896869151173343,-1.1075640044205364,1.576141958525158,1
7Hv3RbeEI9ynt6S7dIm3iT,0.796,0.6970000000000001,9.0,-7.524,1.0,0.0631,0.585,0.0,0.343,0.744,135.071,119111.0,4.0,Intro,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,52,slovakia,184,1,40,Separ,260196,59,-1.6883798143742923,1.0324865747520937,1.878399980824707,0.15896869151173343,-1.1075640044205364,1.576141958525158,1
1qHZrVjQrXxpb0lTdOmM7K,0.447,0.602,2.0,-6.872,0.0,0.405,0.625,0.0,0.1,0.588,73.257,188219.0,4.0,Reťaze,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,52,slovakia,184,1,23,Separ,260196,59,-1.1516024050998854,0.37059872690104195,-0.34101506641950635,3.0308499673163385,0.28119192228444745,-0.9007159126956028,0
1BnuGuGGEv1mIpJEmDZ5nq,0.833,0.797,6.0,-7.156,0.0,0.092,0.329,1.13e-05,0.0907,0.444,131.98,193636.0,4.0,Nemam mood,37i9dQZEVXbMwW10JmAnzE,album,3zi1D9yDyynoGCl4vLVWOK,3LujD0iQ9jRbSCMA39CGfO,True,55,slovakia,184,2,7,Separ,260196,59,-1.1516024050998854,0.37059872690104195,-0.34101506641950635,3.0308499673163385,0.28119192228444745,-0.9007159126956028,0
1yEvfrCuUJ6lrx1rZbj6Pv,0.748,0.75,5.0,-5.319,1.0,0.23900000000000002,0.07060000000000001,0.0,0.13,0.45,104.069,420466.0,4.0,Hip Hop Žije,37i9dQZEVXbMwW10JmAnzE,single,3EzolH32kLS2zFOuVIdDCb,3LujD0iQ9jRbSCMA39CGfO,True,52,slovakia,184,15,41,Separ,260196,59,2.3269517824831425,-0.41839063814659444,-0.2722654686908478,-0.407845566282649,-0.17981997725712676,-0.4526219456137517,2
5iilNoD56jD3FJ3bM9tMP0,0.722,0.782,5.0,-5.963,0.0,0.0524,0.598,0.0016500000000000002,0.124,0.762,117.996,174415.0,4.0,Arena y Sal,37i9dQZEVXbJwoKy8qKpHG,single,3HeNfmZG51mrV659AcvjPT,3lY9Fxceu60W1rbon7PkuF,False,81,spain,184,3,10,Omar Montes,613295,69,2.3269517824831425,-0.41839063814659444,-0.2722654686908478,-0.407845566282649,-0.17981997725712676,-0.4526219456137517,2
3vfwUrq22haMmIJyyyI7Hq,0.5630000000000001,0.852,11.0,-7.114,1.0,0.031900000000000005,0.0175,0.00135,0.108,0.764,135.012,188500.0,4.0,ลาก่อน,37i9dQZEVXbJ7qiJCES5cj,single,2MM6NjLf7zzQxVNfD93wU1,5YcdFv3OumeTW8cVW788gT,False,66,thailand,184,1,42,YourMOOD,142593,49,1.799962367514734,-0.015025408769436126,-0.8472254777788351,-1.1491335462889478,1.4163080240434414,0.16095820588366452,2
